periode,R80,Re,ETc_tahunan,keb_padi,defisit,surplus
1,103.02,72.11399999999999,55.56974694942112,85.56974694942113,13.45574694942114,0.0
2,121.25999999999999,84.88199999999999,56.20351977678116,88.20351977678115,3.321519776781159,0.0
3,160.09999999999997,112.06999999999996,51.91813581963502,81.91813581963501,0.0,30.151864180364953
4,131.61999999999998,92.13399999999997,50.53118288496587,77.13118288496588,0.0,15.002817115034091
5,130.1,91.07,54.78729542682208,84.78729542682208,0.0,6.282704573177909
6,107.46,75.222,62.11906502744548,94.11906502744549,18.897065027445493,0.0
7,68.17999999999999,47.72599999999999,54.17578197071391,84.17578197071391,36.44978197071392,0.0
8,64.1,44.86999999999999,53.981534828504444,83.98153482850444,39.111534828504446,0.0
9,35.099999999999994,24.569999999999993,53.56043512155522,83.56043512155523,58.99043512155524,0.0
10,36.3,25.409999999999997,52.13484570110598,84.13484570110597,58.72484570110598,0.0
11,38.24,26.768,45.491290233975164,75.49129023397516,48.72329023397516,0.0
12,24.68,17.276,44.06390514765862,74.06390514765863,56.787905147658634,0.0
13,54.779999999999994,38.346,42.836869970006006,72.836869970006,34.49086997000601,0.0
14,42.89999999999999,30.02999999999999,47.6192808274401,79.6192808274401,49.589280827440106,0.0
15,28.179999999999993,19.725999999999992,47.78255783377538,77.78255783377537,58.05655783377538,0.0
16,22.900000000000002,16.03,55.05933458414347,87.05933458414347,71.02933458414347,0.0
17,29.399999999999995,20.579999999999995,55.324801597043574,85.32480159704357,64.74480159704358,0.0
18,53.41999999999999,37.39399999999999,59.6831067998798,89.6831067998798,52.289106799879804,0.0
19,37.12,25.983999999999998,61.55125744491947,91.55125744491947,65.56725744491948,0.0
20,56.97999999999999,39.88599999999999,65.96639764992189,97.96639764992189,58.0803976499219,0.0
21,64.5,45.15,59.47402202188548,89.47402202188547,44.324022021885476,0.0
22,110.11999999999999,77.08399999999999,55.96934864696226,85.96934864696226,8.885348646962271,0.0
23,153.1,107.16999999999999,53.46077564747132,83.46077564747132,0.0,23.709224352528665
24,148.28,103.79599999999999,57.25990600687,89.25990600687,0.0,14.536093993129995
