kalender,rezim,hari,nfr_mm,irigasi_mm,volume_m3,q_rata_l_s,q_maks_l_s,etc_mm,re_mm,perkolasi_mm
110 hari (modern),FL  (genangan),140,439.7600509588605,676.5539245520931,22436.55779992106,1.854874156739506,6.005061727455536,404.51486452858757,687.1858385964911,280.0
110 hari (modern),SRI (intermiten),140,323.53865206844097,497.7517724129861,16506.942028531856,1.364661212676245,6.005061727455536,387.11799418520275,687.1858385964911,192.0
150 hari (lokal),FL  (genangan),180,455.46240844312985,700.7113976048151,23237.692078768483,1.49419316350106,6.005061727455536,555.8983846412686,918.0501478070173,360.0
150 hari (lokal),SRI (intermiten),180,329.02239174989637,506.18829499984054,16786.722427079712,1.0793931601774507,6.005061727455536,533.2923363575478,918.0501478070173,239.99999999999994
