id_petak,rezim,hari,fase,tma,irigasi,etc,perkolasi,limpasan,hujan_mm
PTK-09,FL,79,reproduktif,3.951740365672025,6.198259634327975,5.38,0.6682596343279746,0.0,0.0
PTK-09,FL,80,reproduktif,4.313740365672025,6.048259634327975,5.018,0.6682596343279746,0.0,0.0
PTK-09,FL,81,reproduktif,3.360740365672025,5.686259634327975,5.971,0.6682596343279746,0.0,0.0
PTK-09,FL,82,reproduktif,4.019740365672025,6.639259634327975,5.312,0.6682596343279746,0.0,0.0
PTK-09,FL,83,reproduktif,3.9577403656720254,5.980259634327975,5.374,0.6682596343279746,0.0,0.0
PTK-09,FL,84,reproduktif,3.525740365672025,6.042259634327975,5.806,0.6682596343279746,0.0,0.0
PTK-09,FL,85,reproduktif,3.073740365672025,6.474259634327975,6.258,0.6682596343279746,0.0,0.0
PTK-09,FL,86,reproduktif,4.761740365672025,6.926259634327975,4.57,0.6682596343279746,0.0,0.0
PTK-09,FL,87,reproduktif,3.7827403656720247,5.238259634327975,5.549,0.6682596343279746,0.0,0.0
PTK-09,FL,88,reproduktif,3.4947403656720253,6.217259634327975,5.837,0.6682596343279746,0.0,0.0
PTK-09,FL,89,reproduktif,3.374740365672025,6.505259634327975,5.957,0.6682596343279746,0.0,0.0
PTK-09,FL,90,reproduktif,3.6367403656720247,6.625259634327975,5.695,0.6682596343279746,0.0,0.0
PTK-09,FL,91,pemasakan,-1.972288313018952,0.0,5.366,0.24302867869097722,0.0,0.0
PTK-09,FL,92,pemasakan,3.512740365672025,11.972288313018952,5.819,0.6682596343279746,0.0,0.0
PTK-09,FL,93,pemasakan,-3.024001893553285,0.0,6.302,0.23474225922531036,0.0,0.0
PTK-09,FL,94,pemasakan,3.411740365672025,13.024001893553285,5.92,0.6682596343279746,0.0,0.0
PTK-09,FL,95,pemasakan,-3.253252471246573,0.0,6.437,0.2279928369185978,0.0,0.0
