urutan,id_petak,simpul,luas_m2,keliling_m,panjang_m,lebar_m,x_m,y_m,luas_ha,a_perkolasi,perk_per_mm,varietas
1,PTK-01,17,1426.064510195727,171.437834163036,70.56463439107424,45.71037466990671,117.47044913089134,35.8618762368205,0.1426064510195727,1.1421225124566356e-06,0.09867938507625332,Ciherang
2,PTK-02,23,2627.3899985603202,222.8836339400908,86.06084877512161,61.1928924732631,91.37177058970147,47.65688860664178,0.262738999856032,5.763908985504485e-07,0.04980017363475875,Ciherang
3,PTK-03,20,2467.019243047165,220.30955714465077,87.02701246196892,53.88858188355937,60.504515073836735,55.35101658887094,0.24670192430471652,6.443209242768451e-07,0.055669327857519414,Ciherang
4,PTK-04,31,2624.456844659373,218.74918015133932,82.67777156464795,56.62854902953372,28.590049300979576,63.88377929434125,0.2624456844659373,7.851694703132812e-07,0.0678386422350675,Ciherang
5,PTK-05,36,2703.5121869464056,229.95829851105657,87.21075373311996,63.13224274632398,-4.389892106022205,69.27454610616442,0.27035121869464057,4.780280236529441e-07,0.04130162124361437,Ciherang
6,PTK-06,22,3029.7854154821,241.50867934872844,95.49780598103892,65.79770033594906,-36.33735504004082,77.85652659743269,0.30297854154820997,7.451569556748632e-07,0.06438156097030819,Ciherang
7,PTK-07,19,2841.467973751882,242.39860190589155,92.215946483305,53.77801608029042,-68.57935141718521,92.01251493040843,0.28414679737518816,1.062611548160964e-06,0.09180963776110729,Ciherang
8,PTK-08,15,727.1039069538456,121.72443061467219,47.628004322902356,26.375366213222335,-104.19492936634268,78.1363903033719,0.07271039069538456,7.169021253317869e-07,0.061940343628666385,Ciherang
9,PTK-09,17,808.4572201728224,126.93699413038826,50.34231164703043,32.26396071670379,-106.46810817656296,61.334693593119525,0.08084572201728224,7.734486508425632e-07,0.06682596343279747,Ciherang
10,PTK-10,16,877.470651457978,142.75797404915576,60.940309264176065,30.635826583683446,-119.08913725584885,-1.7448896225471286,0.08774706514579779,6.792430229529402e-07,0.058686597183134036,Ciherang
11,PTK-11,16,547.6958231814278,133.64786527284696,60.094064154646986,23.585244687583838,-108.77726953531779,-15.377788400187699,0.05476958231814279,6.998447986617393e-07,0.06046659060437428,Ciherang
12,PTK-12,13,784.2233847120224,159.11525923677328,69.04342943718483,35.94017452703689,-125.61912533051176,-23.89906361257817,0.07842233847120224,8.814300281086153e-07,0.07615555442858436,Ciherang
13,PTK-13,40,1545.014754374497,189.5000361074059,70.26008893620687,53.960200627496135,-127.64784524526151,-41.7672594952986,0.1545014754374497,8.999598544864405e-07,0.07775653142762845,Ciherang
14,PTK-14,31,1429.3330160808182,156.82726671097774,57.95817597140723,49.25861074974546,-73.13652809650478,-40.199795500043734,0.14293330160808182,7.934899538175326e-07,0.06855753200983482,Ciherang
15,PTK-15,22,643.8602498019136,101.07359281406244,36.11419109162656,31.89933549779932,-40.48550689532394,-53.28230821868174,0.06438602498019136,6.9102615317185e-07,0.05970465963404784,Ciherang
16,PTK-16,15,654.9084087963683,103.49698841680409,37.76464175877663,31.12914471473872,-46.053044865134716,17.20485719371147,0.06549084087963683,1.0633147553523914e-06,0.09187039486244662,Ciherang
17,PTK-17,26,1194.5764896953137,142.84475472414786,46.40077895094959,45.268280719406306,-18.665843073341836,9.120987223258128,0.11945764896953137,1.4461904719744772e-06,0.12495085677859483,Ciherang
18,PTK-18,23,819.8452086827696,120.642952307401,42.24058798332361,25.564224254162326,8.654861172494027,4.4450230734203595,0.08198452086827696,1.0614687011269569e-06,0.09171089577736907,Ciherang
19,PTK-19,29,841.6022002882343,118.61896800114903,43.48380206423767,24.658527754598982,30.44671093136429,5.618241534905003,0.08416022002882342,1.1591703552936705e-06,0.10015231869737314,Ciherang
20,PTK-20,20,2136.0871126497304,186.0580556229408,65.97318899446903,54.415342437848764,69.88020320895608,-7.63337831011654,0.21360871126497305,6.910615783109298e-07,0.05970772036606434,Ciherang
21,PTK-21,18,860.6159389574896,121.86429040065674,43.27755231323825,34.5867291836947,108.74632127240059,-14.80125149164453,0.08606159389574895,5.146695576148944e-07,0.044467449777926875,Ciherang
22,PTK-22,21,798.458686970811,129.48513726336682,50.96156067061264,34.56823577142629,44.95238293247644,-33.62147639995261,0.0798458686970811,9.38462931845506e-07,0.08108319731145171,Ciherang
23,PTK-23,37,1482.894049735056,153.68977208712698,53.84867971277124,45.30342220136496,73.36435731833761,-50.536970181940944,0.1482894049735056,8.625000964461449e-07,0.07452000833294692,Ciherang
