id_petak,rezim,luas_m2,luas_ha,perk_per_mm,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_rata,tma_min,hari_diairi,hari_kering
PTK-01,FL,1426.064510195727,0.1426064510195727,0.09867938507625332,215.8,462.0074606497971,510.752,165.78600756326526,24.159047179965675,658.8524430783245,728.365300711488,236.42154167301297,34.45235978349321,8.90318156962965,-4.821927204481267,53,11
PTK-01,SRI,1426.064510195727,0.1426064510195727,0.09867938507625332,215.8,455.6573274045,488.4549999999999,183.06572740070087,35.084057866544356,649.7967434221923,696.5683403276537,261.06353687930493,50.03212979713212,-6.362061088381658,-38.0441446568628,14,74
PTK-02,FL,2627.3899985603202,0.262738999856032,0.04980017363475875,215.8,404.7603639885459,510.752,86.11189883894014,38.87246688595336,1063.4633321571403,1341.9446965446807,226.24954176646935,102.13313071552109,9.94011091375434,-5.737588602236558,47,11
PTK-02,SRI,2627.3899985603202,0.262738999856032,0.04980017363475875,215.8,364.7715719270296,488.4549999999999,96.86644082707724,35.51834047622938,958.397179840204,1283.361781746781,254.50591782519783,93.32053253270529,-4.6336244069105845,-33.56501562712829,12,71
PTK-03,FL,2467.019243047165,0.24670192430471652,0.055669327857519414,215.8,405.178948305418,510.752,95.65267734694324,36.9723670694735,999.5842623470787,1260.0350124248257,235.97699566389062,91.21154102139445,9.771385302884052,-4.306254506569849,47,12
PTK-03,SRI,2467.019243047165,0.24670192430471652,0.055669327857519414,215.8,372.15258566732376,488.4549999999999,105.78045127047477,34.30227810115494,918.1075901910464,1205.027884362603,260.96240882247423,84.6243801559046,-5.131976829852308,-34.09323950717675,12,70
PTK-04,FL,2624.456844659373,0.2624456844659373,0.0678386422350675,215.8,425.8892366731889,510.752,116.40869686428762,37.0694540235294,1117.7279222537063,1340.446582323464,305.50960126335775,97.28718233983767,9.561220693661928,-4.460363113300337,50,11
PTK-04,SRI,2624.456844659373,0.2624456844659373,0.0678386422350675,215.8,406.93151545833416,488.4549999999999,128.24792392553687,31.882687093028466,1067.9742010522366,1281.929068058094,336.5811417597298,83.6747363674316,-6.000520447454703,-36.48547780115607,13,74
PTK-05,FL,2703.5121869464056,0.27035121869464057,0.04130162124361437,215.8,389.671160305273,510.752,72.53383844842507,37.27633806928416,1053.480730786852,1380.8242565072505,196.09611621131893,100.77703425504396,10.323965074379911,-5.618149543949558,45,12
PTK-05,SRI,2703.5121869464056,0.27035121869464057,0.04130162124361437,215.8,339.2608294720574,488.4549999999999,82.14210213773968,37.358873246243,917.1957870312534,1320.5440452749062,222.07217419077563,101.00016911180397,-4.152623924834046,-35.19100427669541,11,71
PTK-06,FL,3029.7854154821,0.30297854154820997,0.06438156097030819,215.8,421.4298478360311,510.752,110.8541617596035,38.12432944984374,1276.8420066224476,1547.4689605283133,335.86432254474016,115.50853734217128,9.655458359260626,-4.41725232897728,49,12
PTK-06,SRI,3029.7854154821,0.30297854154820997,0.06438156097030819,215.8,402.6134005816489,488.4549999999999,123.19373110489147,32.55653757422286,1219.832209159932,1479.913835119309,373.2505697804237,98.6393227209754,-6.4472683834646185,-36.17434048732773,13,76
PTK-07,FL,2841.467973751882,0.28414679737518816,0.09180963776110729,215.8,454.06520601479986,510.752,155.8416390098086,26.08513972053229,1290.2117408861043,1451.2854505297212,442.8190262233731,74.12008910673562,9.134221387499514,-4.744929099306582,53,11
PTK-07,SRI,2841.467973751882,0.28414679737518816,0.09180963776110729,215.8,448.8653026987761,488.4549999999999,174.3486255183323,36.76182413984367,1275.4363821470165,1387.9292391189754,495.4060356780014,104.45754595006461,-6.637816398934898,-37.40691558730519,14,77
PTK-08,FL,727.1039069538456,0.07271039069538456,0.061940343628666385,215.8,414.8065922874169,510.752,107.34125848396471,34.9853959389713,301.60749388239174,371.36977468449055,78.04824842103336,25.438018073553238,9.817267609131658,-4.386490884646843,48,12
PTK-08,SRI,727.1039069538456,0.07271039069538456,0.061940343628666385,215.8,371.6653644538407,488.4549999999999,120.72425195455708,33.038743425863586,270.2393385738125,355.1575388711406,87.77907526023888,24.022599425791096,-5.527838055717466,-34.971332644723304,12,75
PTK-09,FL,808.4572201728224,0.08084572201728224,0.06682596343279747,215.8,424.3484352732365,510.752,114.54834283389071,37.377234917145316,343.0675563656876,412.9211421177094,92.60743482289072,30.217895438861856,9.558652144648892,-4.447789401610023,49,12
PTK-09,SRI,808.4572201728224,0.08084572201728224,0.06682596343279747,215.8,406.23192559522965,488.4549999999999,127.3337978548538,32.07899508216626,328.4211333121722,394.8949714795159,102.9439282477832,25.934495190065775,-6.659209334173541,-36.39433670895177,13,76
PTK-10,FL,877.470651457978,0.08774706514579779,0.058686597183134036,215.8,410.8676656561103,510.752,102.33857817648467,36.01087016479879,360.5243182462858,448.1698901734652,89.79909886180322,31.598481703074654,9.951942882787971,-4.345078953091978,48,12
