id_petak,rezim,cara_ambil_air,luas_ha,luas_m2,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_min_mm,tma_maks_mm,hari_diairi,irigasi_maks_harian_mm,masuk_mm,keluar_mm,delta_simpanan_mm,etc_pct,perkolasi_pct,limpasan_pct
P01,FL,chokubun,0.10427900669795272,1042.7900669795272,215.8,387.9646198125664,510.752,70.34306138472365,37.746611901791205,404.56565188003293,532.6071122899275,73.35304569292097,39.36179195331907,-5.598191238426792,50.0,45,15.598191238426793,603.7646198125665,618.8416732865148,-15.077053473948354,82.53354970222395,11.36689147179586,6.099558825980206
P01,SRI,chokubun,0.10427900669795272,1042.7900669795272,215.8,337.4025115022745,488.4549999999999,79.55337373787577,37.96361902993462,351.8399875685175,509.3560221664849,82.95746792856683,39.588084831010775,-35.01507377175033,40.0,11,35.01507377175033,553.2025115022745,605.9719927678103,-52.769481265535774,80.60686068492289,13.128226170076173,6.264913145000928
P02,FL,chokubun,0.3604985510187715,3604.9855101877147,215.8,403.0068419680757,510.752,83.86041094904333,39.355701259191534,1452.8338258014232,1841.2535592993959,302.31556634968837,141.8767327826619,-5.717134969236194,50.0,47,15.717134969236195,618.8068419680758,633.9681122082349,-15.16127024015907,80.56430444442245,13.22785946708599,6.20783608849157
P02,SRI,chokubun,0.3604985510187715,3604.9855101877147,215.8,350.1404524605947,488.4549999999999,95.18406897735133,35.828815644674904,1262.2512576510144,1760.87319737874,343.13718946405953,129.16236124623993,-36.07620502600411,40.0,11,36.27725050378072,565.9404524605948,619.4678846220262,-53.52743216143142,78.85073821026816,15.365456602391701,5.7838051873401275
P03,FL,chokubun,0.6031811898544184,6031.811898544183,215.8,403.4189022880017,510.752,93.39981629864668,37.447616272336695,2433.346934918402,3080.759990805239,563.370123272018,225.87697740359727,-4.287067524850528,50.0,47,15.076039588019409,619.2189022880017,641.5994325709835,-22.380530282981795,79.60605544075086,14.55734085118808,5.836603708061053
P03,SRI,chokubun,0.6031811898544184,6031.811898544183,215.8,370.0872611310005,488.4549999999999,103.33178236019589,34.60572675073615,2232.296745189597,2946.2686809033985,623.2778743380076,208.73523437285905,-33.960079966552605,40.0,12,35.74740389272762,585.8872611310005,626.392509110932,-40.50524797993148,77.97906151420725,16.496331111439932,5.5246073743528115
P04,FL,chokubun,0.6911895270939636,6911.895270939636,215.8,376.497128234109,510.752,55.6842607965713,40.847735599965546,2602.308720163692,3530.264333422961,384.88377886559056,282.33527052199446,-5.466985285010385,50.0,44,15.466985285010384,592.2971282341091,607.2839963965368,-14.986868162427754,84.10430754485014,9.169393747733684,6.726298707416174
P04,SRI,chokubun,0.6911895270939636,6911.895270939636,215.8,321.99880532975476,488.4549999999999,61.5721628562795,39.729455935325575,2225.6220198069445,3376.1498045668195,425.5803412678434,274.6058385963815,-33.87873884659048,40.0,10,33.87873884659048,537.7988053297547,589.756618791605,-51.957813461850265,82.8231484711152,10.44026652595085,6.736585002933945
P05,FL,shusui,0.6317444429224944,6317.4444292249445,215.8,523.4960665545974,510.752,228.45424180392828,23.388146313328292,3307.1573093765123,3226.647377115499,1443.2469772170352,147.75331463703375,-4.100469722216004,50.0,57,14.288172757496048,739.2960665545975,762.5943881172566,-23.298321562659112,66.97557810004062,29.957503669539346,3.0669182304200393
P05,SRI,shusui,0.6317444429224944,6317.4444292249445,215.8,499.52684440627206,488.4549999999999,245.5339473325177,26.325373733865973,3155.7330804427193,3085.78731867707,1551.1470677614248,166.30908564227627,-34.076938941270235,40.0,16,36.92593894127023,715.3268444062721,760.3143210663836,-44.9874766601115,64.24382475328287,32.293742275976406,3.4624329707407266
P06,FL,shusui,0.6063106439224238,6063.106439224239,215.8,481.27849908279376,510.752,179.77956791368157,29.521232627231896,2918.042766849064,3096.7437400466583,1090.022655858394,178.9903756360064,-4.9064768017626,50.0,54,13.517089723776639,697.0784990827938,720.0528005409135,-22.974301458119726,70.9325760022482,24.967553459778046,4.099870537973763
P06,SRI,shusui,0.6063106439224238,6063.106439224239,215.8,471.76443736581825,488.4549999999999,200.64997162886414,25.00832423433063,2860.3579979896926,2961.554655771275,1216.5621350131269,151.6281316993776,-36.06029248688245,40.0,15,36.19161690544388,687.5644373658183,714.1132958631947,-26.548858497376386,68.40021083903402,28.097778432528077,3.50201072843791
P07,FL,shusui,0.5376128646143977,5376.128646143978,215.8,476.3983925427542,510.752,173.82284762680567,30.5531846779174,2561.1790451260445,2745.868458275329,934.4939904807898,164.257851377879,-4.862063571379738,50.0,54,13.467462564355609,692.1983925427542,715.1280323047231,-22.92963976196893,71.42105705938312,24.3065353020224,4.272407638594482
P07,SRI,shusui,0.5376128646143977,5376.128646143978,215.8,443.19973141082005,488.4549999999999,195.73732866849582,25.687371148808097,2382.6987720010266,2625.9969178522565,1052.3090597743992,138.09861187723956,-37.357624980777146,40.0,14,37.357624980777146,658.99973141082,709.8796998173038,-50.87996840648384,68.8081375091737,27.573309776131254,3.618552714695047
