id_petak,cara_ambil_air,luas_ha,perkolasi_mm_hari,IR_mm_hari,DR_l_detik_ha,debit_l_detik
P01,chokubun,0.10427900669795272,1.9952673697421954,11.58659478945373,2.0631400978372025,0.21514220008118046
P02,chokubun,0.3604985510187715,2.4163512007952823,11.847147102779756,2.109534740523461,0.7604842172824677
P03,chokubun,0.6031811898544184,2.709488870307003,12.030511766338831,2.1421851435788515,1.2921257837923497
P04,chokubun,0.6911895270939636,1.5443408121390794,11.3113223251057,2.014124345638479,1.3921416539702993
P05,shusui,0.6317444429224944,6.859700611214439,14.795320256368644,2.634494347643989,1.664327164034812
P06,shusui,0.6063106439224238,5.32182915937914,13.734864415529927,2.445666740657038,1.4828337763474242
P07,shusui,0.5376128646143977,5.116644726724816,13.596513734063096,2.421031647803258,1.301577759497625
P08,shusui,0.41392062986983874,6.805117117272559,14.756982575079233,2.6276678374428832,1.0876459263630753
P09,tagoshi,0.23685504526999376,1.6018909140090367,11.346237737006053,2.0203414773871176,0.4785280720873718
P10,tagoshi,0.1816409234566081,2.298501369073993,11.773886683981075,2.096489794156174,0.3808083422278817
P11,tagoshi,0.14456520402603465,2.08509182962232,11.641892523280433,2.0729865604131823,0.2996817250493595
P12,tagoshi,0.050925879283292626,1.6070041955074856,11.349343015933517,2.0208944116690732,0.1029158248529399
