hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,kecamatan,rezim,bulan,tahun_tanam
2166.1000000000004,226.4505852309495,126.45058523094953,458.0536108960995,280.0,1440.6599838330603,100.0,2392.5505852309498,2178.71359472916,42.91314734819979,28.051059561333282,0,Karangpawitan,FL,1,2016
1415.1,229.69418893950427,104.31548822590476,452.88027204175165,280.0,704.1774401672546,100.0,1644.7941889395042,1437.0577122090062,35.761539117054674,6.363965673056045,0,Karangpawitan,FL,1,2017
1078.5,356.9104733976693,201.41142607904226,466.6102191031441,280.0,511.21361383487266,100.0,1435.4104733976692,1257.8238329380167,32.911834836723294,-4.18408000538505,7,Karangpawitan,FL,1,2018
1587.3999999999999,258.66188101409386,158.66188101409384,464.80060028770595,280.0,886.0235306183185,100.0,1846.0618810140936,1630.8241309060245,42.81096198734904,14.470530362807793,0,Karangpawitan,FL,1,2019
1829.6000000000001,232.4824562163663,132.4824562163663,474.15476043458864,280.0,1094.5353672925755,100.0,2062.0824562163666,1848.690127727164,42.646620084245875,21.757204084215683,0,Karangpawitan,FL,1,2020
1473.6,186.18322038642526,76.09790638637702,431.5821804659431,280.0,761.7707008982092,100.0,1659.7832203864252,1473.3528813641524,38.818415193316085,3.6596646868583704,0,Karangpawitan,FL,1,2021
1356.0,253.45548780116627,121.77939481154507,479.40172923799105,280.0,632.4914362298417,100.0,1609.4554878011663,1391.8931654678327,40.346908738190685,4.3239070103787745,0,Karangpawitan,FL,1,2022
1274.0,188.30689576806174,75.80689576806175,466.17662876074496,280.0,508.8809815007019,100.0,1462.3068957680616,1255.0576102614468,37.974005232893774,2.7569691832688115,0,Karangpawitan,FL,1,2023
1090.3,344.49514415503245,234.39514415503243,526.5382367896274,280.0,438.69519205200095,100.0,1434.7951441550324,1245.2334288416282,34.425655329082815,9.14749704611938,0,Karangpawitan,FL,1,2024
2166.1000000000004,126.45058523094954,126.45058523094953,442.76683941135275,192.0,1452.2766553090487,0.0,2292.5505852309498,2087.043494720401,33.1477393123119,12.403743809688017,0,Karangpawitan,SRI,1,2016
1415.1,115.5320235859043,104.31548822590476,437.3956628333963,192.0,694.0178384580213,0.0,1530.632023585904,1323.4135012914176,27.302263073601537,-4.303994383112826,4,Karangpawitan,SRI,1,2017
1078.5,214.76207754090728,201.41142607904226,450.78886050534476,186.23999999999995,494.8355846358926,0.0,1293.2620775409073,1131.8644451412374,24.68217480745003,-19.662791895748278,16,Karangpawitan,SRI,1,2018
1587.3999999999999,158.66188101409384,158.66188101409384,449.1384005067057,192.0,898.8580002649428,0.0,1746.0618810140936,1539.9964007716485,33.21976568635637,15.295574616641378,0,Karangpawitan,SRI,1,2019
1829.6000000000001,132.4824562163663,132.4824562163663,458.624909892516,192.0,1108.0652178346481,0.0,1962.0824562163664,1758.690127727164,33.428538699200686,22.571489192292756,0,Karangpawitan,SRI,1,2020
1473.6,76.09790638637702,76.09790638637702,416.880208813954,192.0,747.735545832882,0.0,1549.6979063863769,1356.6157546468362,30.603694861973533,7.075095499949547,0,Karangpawitan,SRI,1,2021
1356.0,135.82429462580433,121.77939481154507,463.1702781297098,192.0,629.091694162761,0.0,1491.8242946258042,1284.2619722924708,30.764998982587013,-4.144899814259238,3,Karangpawitan,SRI,1,2022
1274.0,75.80689576806174,75.80689576806175,450.7229419188028,192.0,505.97527811006745,0.0,1349.8068957680616,1148.6982200288703,27.53006073752094,-1.3626209994289926,1,Karangpawitan,SRI,1,2023
1090.3,234.3951441550324,234.39514415503243,509.1657524519179,192.0,425.5788978452015,0.0,1324.6951441550323,1126.7446502971193,28.932079490696836,5.467698515487288,0,Karangpawitan,SRI,1,2024
1938.6999999999998,198.94113011795906,62.92434560132074,456.8380156814724,280.0,1219.451175389314,100.0,2137.6411301179587,1956.2891910707863,39.667438042784745,-3.533907065640142,3,Karangpawitan,FL,2,2015
1871.6,230.76889662080407,130.76889662080404,459.97934932109206,280.0,1176.1010070637653,100.0,2102.3688966208038,1916.0803563848574,41.81026885839292,12.211311745243872,0,Karangpawitan,FL,2,2016
1073.8000000000002,271.6752400764584,134.08972239900052,450.3362434458685,280.0,434.11206157351046,100.0,1345.4752400764587,1164.448305019379,36.20597618777023,-4.751300877973678,4,Karangpawitan,FL,2,2017
954.2,336.57410325894557,158.12256702504556,467.51613399451696,280.0,360.3021546973815,100.0,1290.7741032589456,1107.8182886918985,26.918969385694275,-1.7518154663313652,6,Karangpawitan,FL,2,2018
1386.8000000000002,211.17211866597574,111.17211866597573,460.22659571042044,280.0,666.0854446990874,100.0,1597.9721186659758,1406.312040409508,40.75769571560296,14.34590396173808,0,Karangpawitan,FL,2,2019
1742.1999999999998,222.93540842443775,122.93540842443775,457.8457830520929,280.0,1012.635170819625,100.0,1965.1354084244376,1750.480953871718,41.94270932367781,5.128722100386393,0,Karangpawitan,FL,2,2020
1121.3999999999999,268.55099259015356,110.51267285656903,445.95831831861665,280.0,450.87485430519075,100.0,1389.9509925901534,1176.8331726238075,31.25927622077866,-3.8872742437370493,6,Karangpawitan,FL,2,2021
1193.3,281.7491387196383,163.34913871963832,479.2975454860507,280.0,520.7179304907138,100.0,1475.0491387196382,1280.0154759767645,36.78739929063711,2.490015264282361,0,Karangpawitan,FL,2,2022
1151.8000000000002,270.298929197257,157.598929197257,471.55690962854436,280.0,494.2347325194944,100.0,1422.0989291972571,1245.7916421480388,37.3521817654187,0.6080654257165463,0,Karangpawitan,FL,2,2023
1092.2,275.5326292848152,151.95456398280558,508.14354651619186,280.0,406.6657982546726,100.0,1367.7326292848152,1194.8093447708645,34.21414180253395,-4.867781045342831,3,Karangpawitan,FL,2,2024
1938.6999999999998,62.92434560132074,62.92434560132074,441.6199904279671,189.11999999999998,1218.4963617244723,0.0,2001.6243456013206,1849.2363521524394,29.906439172976096,-24.99524750805978,8,Karangpawitan,SRI,2,2015
1871.6,130.76889662080407,130.76889662080404,444.4801987704259,192.0,1182.1135986786717,0.0,2002.368896620804,1818.5937974490976,32.77524702787739,9.697870681003469,0,Karangpawitan,SRI,2,2016
1073.8000000000002,134.08972239900052,134.08972239900052,434.49059091663423,188.64,430.9239721170488,0.0,1207.8897223990007,1054.054563033683,26.692831848531426,-27.51220780423159,8,Karangpawitan,SRI,2,2017
954.2,221.37048362402726,158.12256702504556,451.012663482347,175.2,368.8101880040923,0.0,1175.5704836240272,995.0228514864393,14.08138821279138,-32.66848162395837,41,Karangpawitan,SRI,2,2018
1386.8000000000002,111.17211866597572,111.17211866597573,444.7268609623584,192.0,670.46275948488,0.0,1497.9721186659758,1307.1896204472384,32.1550035205156,13.468323924007244,0,Karangpawitan,SRI,2,2019
1742.1999999999998,122.93540842443775,122.93540842443775,442.2458778076549,192.0,1025.7416420580807,0.0,1865.1354084244376,1659.9875198657355,32.97189981026961,5.958140693451875,0,Karangpawitan,SRI,2,2020
1121.3999999999999,110.51267285656903,110.51267285656903,430.1011592990265,183.84,424.47193108159684,0.0,1231.9126728565689,1038.4130903806233,18.566674553189557,-26.16619417268559,23,Karangpawitan,SRI,2,2021
1193.3,163.34913871963832,163.34913871963832,462.9716544937824,192.0,500.85486299862384,0.0,1356.6491387196384,1155.8265174924063,28.18019247606787,-2.832113076579805,2,Karangpawitan,SRI,2,2022
