hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,hari_diairi,hari_limpas,di,rezim,bulan,tahun_tanam
2166.1000000000004,227.18093518467697,127.18093518467694,464.58887185458195,280.0,1435.631994136464,100.0,2393.280935184677,2180.220865991046,42.86984294491298,27.75881802172792,0,47,93,DI Citameng I,FL,1,2016
1380.2999999999997,230.39769873902435,105.06666854749679,473.17083420851736,280.0,667.4946220383616,100.0,1610.697698739024,1420.6654562468789,33.50723065161973,1.750027769935338,0,46,61,DI Citameng I,FL,1,2017
985.9999999999999,390.5564354424274,223.2819871474164,488.827222449268,280.0,426.801046102378,100.0,1376.5564354424273,1195.628268551646,32.37817248093387,-5.625853657685271,8,60,43,DI Citameng I,FL,1,2018
1552.1000000000001,252.34353485877017,152.34353485877014,487.17988732368127,280.0,824.9010845448051,100.0,1804.4435348587704,1592.0809718684864,41.45017117184149,7.6962338681870275,0,49,74,DI Citameng I,FL,1,2019
1786.4,214.5505517503559,114.55055175035591,494.4149260287368,280.0,1017.3745398130139,100.0,2000.950551750356,1791.7894658417508,41.8361592423155,16.4703864081672,0,49,88,DI Citameng I,FL,1,2020
1395.0,204.18068579605693,88.88068579605692,450.7312883490852,280.0,673.4834442777958,100.0,1599.1806857960569,1404.214732626881,39.32373960537518,12.951749668723298,0,44,70,DI Citameng I,FL,1,2021
1256.6,240.39872158660495,111.20343971651232,505.1031227002262,280.0,495.973484816307,100.0,1496.998721586605,1281.0766075165332,39.67580577730007,4.104718129907413,0,50,65,DI Citameng I,FL,1,2022
1259.1,206.7859938845583,95.3859938845583,490.13709971833697,280.0,489.64199479173664,100.0,1465.8859938845583,1259.7790945100735,36.04133111547966,3.494299747715467,0,49,56,DI Citameng I,FL,1,2023
1076.1,330.9517648794045,230.95176487940444,555.2034108700366,280.0,398.966152098823,100.0,1407.0517648794043,1234.1695629688595,33.64220036157751,2.2372052779254705,0,54,43,DI Citameng I,FL,1,2024
2166.1000000000004,127.18093518467694,127.18093518467694,449.10189413030275,192.0,1447.447777836765,0.0,2293.280935184677,2088.5496719670678,33.118337883977134,12.130270075378412,0,17,97,DI Citameng I,SRI,1,2016
1380.2999999999997,118.7221439846528,105.06666854749679,456.9780619477921,192.0,657.5490593160226,0.0,1499.0221439846525,1306.527121263815,25.9797090110492,-4.255475437156025,2,15,60,DI Citameng I,SRI,1,2017
985.9999999999999,234.3576922185368,223.2819871474164,472.28672294650437,186.71999999999997,404.54358933400806,0.0,1220.3576922185366,1063.5503122805126,24.371123437017662,-22.705068265689995,12,26,43,DI Citameng I,SRI,1,2018
1552.1000000000001,152.34353485877014,152.34353485877014,470.80775625959944,192.0,838.4412993632848,0.0,1704.4435348587704,1501.2490556228843,32.50244320773294,8.523003829888147,0,19,74,DI Citameng I,SRI,1,2019
1786.4,114.55055175035591,114.55055175035591,478.25016969490895,192.0,1030.6998526895786,0.0,1900.950551750356,1700.9500223844875,32.61893613104264,18.942956839769508,0,19,88,DI Citameng I,SRI,1,2020
1395.0,88.88068579605692,88.88068579605692,435.4261388540364,192.0,661.686655126961,0.0,1483.880685796057,1289.1127939809976,30.300493642725634,-0.6962874567096042,1,13,69,DI Citameng I,SRI,1,2021
1256.6,122.75123154276389,111.20343971651232,487.92672142536964,192.0,493.50239604732263,0.0,1379.3512315427638,1173.4291174726923,30.03815111476949,-1.9477918262515708,3,19,64,DI Citameng I,SRI,1,2022
1259.1,95.3859938845583,95.3859938845583,473.9592403074288,192.0,488.2439649447729,0.0,1354.4859938845582,1154.2032052522018,26.7030590949479,-1.4465983451199191,1,18,47,DI Citameng I,SRI,1,2023
1076.1,230.95176487940446,230.95176487940444,536.999775761371,192.0,390.923384228101,0.0,1307.0517648794043,1119.923159989472,29.357286044219713,6.022587360366828,0,24,47,DI Citameng I,SRI,1,2024
1938.6999999999998,200.6283847423914,63.39652207386857,463.9299063347519,280.0,1214.7544894009043,100.0,2139.3283847423913,1958.6843957356562,39.60266069884387,-3.734091651137643,3,44,103,DI Citameng I,FL,2,2015
1871.6,231.42085987451532,131.42085987451526,466.71551292330264,280.0,1171.1265658306966,100.0,2103.0208598745153,1917.8420787539992,41.72121522390032,11.679535017209684,0,47,83,DI Citameng I,FL,2,2016
1040.7,283.4638143709329,140.59094414546178,477.5138905501866,280.0,389.2107801427662,100.0,1324.1638143709329,1146.7246706929527,31.179972328247125,-5.718275480869721,4,54,37,DI Citameng I,FL,2,2017
916.5000000000001,364.6811587063705,161.8760525113854,491.98324988584477,280.0,326.73791033732033,100.0,1281.1811587063708,1098.721160223165,26.94711978817423,-5.489314280365525,11,60,35,DI Citameng I,FL,2,2018
1344.5,228.9981270305276,116.84833165805063,485.5154716969883,280.0,627.5159049126603,100.0,1573.4981270305275,1393.0313766096485,37.591756476052886,-3.4497953724769537,2,50,63,DI Citameng I,FL,2,2019
1639.6,215.84538571212192,115.84538571212194,478.8376769808606,280.0,888.6624409780679,100.0,1855.4453857121218,1647.5001179589285,40.14393603608707,5.276363435399489,0,47,77,DI Citameng I,FL,2,2020
1108.6999999999998,307.0863189369836,116.32166571071838,467.87819994969965,280.0,450.5605241205378,100.0,1415.7863189369834,1198.4387240702374,31.605365474597086,-5.538108192792491,8,56,49,DI Citameng I,FL,2,2021
